text,dominant_topic,topic_percent,section,item
araştır soru bağlam topla el et veri belirle araç ana,7,0.9210144,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,e)
iki kategorik değişken veri dağılım dayalı istatistiksel araştır hareket,5,0.9282662,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,f)
iki kategorik değişken veri dağılım dayalı istatistiksel araştır hareket,5,0.9282662,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,g)
başka taraf oluş iki kategorik değişken veri ilişkili dayalı,5,0.9189555,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,a)
başka taraf oluş iki kategorik değişken veri ilişkili dayalı,5,0.91895556,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,b)
başka taraf oluş iki kategorik değişken veri ilişkili dayalı,5,0.9189555,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,c)
ÖĞRENME ÖĞRETME,7,0.77513367,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,e)
ÖĞRENME ÖĞRETME,7,0.7751336,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,e)
belirlen oluştur veri topla ve analiz hazır hâl getir bekle,7,0.5428554,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
uygun ol seç MAB3 uygun ol araç belirle araştır,7,0.909229,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
kul,6,0.16502762,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
içer önem i bu,5,0.7692842,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,r)
kullanabil bil ve bu kaynak kullanır ne dikkat et gerek,7,0.4057359,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
ara tutarlı ol ol yan yanlış veya eksik bilgi ol ol,2,0.7667039,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
hareket araştır soru oluştur,7,0.58491576,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
öğrenci sun ve öğrenci bu durum iliş,5,0.86730605,6. TEMA: İSTATİSTİKSEL ARAŞTIRMA SÜRECİ,i)
bir olay gerçekleş diğer bir olay meydan gel bağ ol du,7,0.8706764,7. TEMA: VERİDEN OLASILIĞA,a)
bir olay gerçekleş diğer bir olay meydan gel bağ ol ger,7,0.8706764,7. TEMA: VERİDEN OLASILIĞA,b)
bir olay gerçekleş diğer bir olay meydan gel bağ ol ya da,7,0.8706764,7. TEMA: VERİDEN OLASILIĞA,c)
bir olay gerçekleş diğer bir olay meydan gel bağ ol ya da,7,0.8706764,7. TEMA: VERİDEN OLASILIĞA,d)
Bayes teorem kullan gerçek yaşam durum ilişkin mevcut bilgi kul,6,0.66749054,7. TEMA: VERİDEN OLASILIĞA,a)
mevcut bilgi kullan Bayes teorem dayalı hesapla yap,6,0.92338836,7. TEMA: VERİDEN OLASILIĞA,b)
Bayes teorem kullan gerçek yaşam durum ilişkin ileri yönelik yargı,6,0.62200046,7. TEMA: VERİDEN OLASILIĞA,c)
Öğrenme çıktı çalış kâğıd kontrol liste açık uç soru ve performans görev,7,0.94314504,7. TEMA: VERİDEN OLASILIĞA,e)
uygun ol belirle bu yaklaşım uygun karar verebil,7,0.8706699,7. TEMA: VERİDEN OLASILIĞA,k)
ara,6,0.16502762,7. TEMA: VERİDEN OLASILIĞA,k)
ve bağımlı olay hile iki sayı küp at küp üst yüzey,7,0.5669464,7. TEMA: VERİDEN OLASILIĞA,i)
içer dikkat et gerçek yaşam durum seçil bağım,5,0.89056176,7. TEMA: VERİDEN OLASILIĞA,i)
ilişkin tüm olası çıktı ağaç şema tablo veya al model gibi fark temsil kul,6,0.658832,7. TEMA: VERİDEN OLASILIĞA,i)
öğrenci,5,0.6341173,7. TEMA: VERİDEN OLASILIĞA,i)
gibi durum,5,0.6341011,7. TEMA: VERİDEN OLASILIĞA,i)
ver gerçek yaşam durum ilişkin el et oran veya göre sıklık,5,0.5448044,7. TEMA: VERİDEN OLASILIĞA,i)
algoritma Enigma da kullan,7,0.77507013,7. TEMA: VERİDEN OLASILIĞA,z)
KAVRAMSAL,2,0.6301018,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
gerçek sayı fonksiyon ol şart ile gerçek sayı tanım fonksiyon,4,0.5741046,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
grafik ve,0,0.63766885,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
gerçek sayı tanım fonksiyon grafik ve cebirsel temsil fonksiyon,0,0.55547845,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,b)
Karşılaştır hareket gerçek sayı tanım fonksiyon grafik ve,0,0.387678,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
x2 şekil tanım karesel referans fonksiyon nitel,4,0.90746015,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
0,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
karesel fonksiyon nitel özellik ilişkin matematiksel muhakeme yapabil,4,0.6142628,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,r)
Karesel referans fonksiyon nitel özellik tanım küme görüntü küme,4,0.92871714,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
matematiksel temsil kullan belirle,6,0.8745547,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
Karesel referans fonksiyon nitel özellik ile matematiksel temsil ara,0,0.6727557,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,b)
Karesel referans fonksiyon grafik ve cebirsel temsil Üzer yap işlem,0,0.7885514,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
Karesel referans fonksiyon nitel özellik hareket diğer karesel fonks,4,0.91946715,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,d)
Varsayım dayalı ol karesel fonksiyon nitel özellik ilişkin örüntü,6,0.5338933,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
genel,1,0.6344642,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,l)
Genelle varsayım karşıla karşıla kontrol et,6,0.8965432,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,f)
Genelle el et öner uygun sözel veya cebirsel dil ile sun,1,0.89067733,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,g)
Öner grafiksel ol doğru veya cebirsel ol ispat,1,0.89068156,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,h)
0 şekil tanım karekök referans fonksiyon,4,0.52149504,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
0,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
karekök fonksiyon nitel özellik ilişkin matematiksel muhakeme yapabil,0,0.5443654,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,r)
karekök referans fonksiyon nitel özellik tanım küme görüntü küme işaret,4,0.59958,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
matematiksel temsil kullan belirle,6,0.8745566,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
karekök referans fonksiyon nitel özellik ile matematiksel temsil ara,0,0.90777504,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,b)
karekök referans fonksiyon grafik ve cebirsel temsil Üzer yap işlem diğer,0,0.92895967,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
karekök referans fonksiyon nitel özellik hareket diğer karekök fonksiyon,0,0.91974175,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,d)
Varsayım dayalı ol karekök fonksiyon nitel özellik ilişkin örüntü,6,0.5123322,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
genel,1,0.63446593,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,l)
Genelle varsayım karşıla karşıla kontrol et,6,0.8965432,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,f)
Genelle el et öner uygun sözel veya cebirsel dil ile sun,1,0.8906771,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,g)
Öner grafiksel ol doğru veya cebirsel ol ispat,1,0.89068156,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,h)
nun nitel özellik ile bu fonksiyon türet g(x,0,0.8331434,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
a f(x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,r)
Rasyonel referans fonksiyon nitel özellik tanım küme görüntü küme işare,4,0.730928,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
matematiksel temsil kullan belirle,6,0.8745566,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
Rasyonel referans fonksiyon nitel özellik ile matematiksel temsil ara,0,0.90777504,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,b)
Rasyonel referans fonksiyon grafik ve cebirsel temsil Üzer yap işlem di,0,0.92895967,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
Rasyonel referans fonksiyon nitel özellik hareket diğer rasyonel fonksiyon,0,0.9197418,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,d)
Varsayım dayalı ol rasyonel fonksiyon nitel özellik ilişkin örüntü,6,0.5123816,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
genel,1,0.63446474,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,l)
Genelle varsayım karşıla karşıla kontrol et,6,0.8965431,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,f)
Genelle el et öner uygun sözel veya cebirsel dil ile sun,1,0.8906774,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,g)
Öner grafiksel ol doğru veya cebirsel ol ispat,1,0.89068156,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,h)
Referans fonksiyon ve bu türetil fonksiyon Üzer bir fonksiyo,0,0.86859274,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
Varsayım yararlan fark durum ilgili örüntü listele referans,6,0.8431555,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,b)
Referans fonksiyon ve bu türet fonksiyon ters fonksiyon ilişki,0,0.919739,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
referans fonksiyon ve bu türet fonksiyon ters fonksiyon ait,0,0.90777636,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,d)
bu fonksiyon ifade edil denklem ve eşitsizlik ilişkin matematiksel bile,0,0.92895293,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,a)
belirle,7,0.6433744,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
bu fonksiyon ifade edil denklem ve eşitsizlik ilişkin matematiksel bile,0,0.9289534,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,b)
bu fonksiyon ifade edil denklem ve eşitsizlik problem bağlam,0,0.9197384,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
el et ve yorumla fark temsil yarar problem çözüm için stra,6,0.9233817,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,d)
Belirle strateji kullan,7,0.8357571,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
el et çözüm fark yöntem kullan doğru,6,0.8965349,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,f)
Problemin olası çözüm strateji göz geçir,7,0.8933366,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,g)
Çıkarımlarının geçerli sözel cebirsel ve grafiksel argüman değerlen,1,0.9190509,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,h)
x2,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
g(x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
k f 1(x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,r)
94,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
yararlanıla,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
analiz et bu analiz yap Tanım küme her bir gerçek sayı değer küme,4,0.53347933,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
> f(y,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
< f(y dir gibi önerme fonksiyon cebirsel veya grafik temsil kullan,0,0.7573585,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
yer ver 1700 lü yıl gelin matema,1,0.634537,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
bu tanım daha formel hâl getir belirt fonksiyon kavram,0,0.63822156,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
0,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
k a r k,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,r)
varsayım geliştir fonksiyon sıfır 0 ve 4 ve grafik simetrik ol dikkate,6,0.54065645,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
şekil tamkare tamamla grafik temsil dönüşüm el et bu şekil fonk,6,0.7850811,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
fonksiyon,0,0.63766396,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
3 ik f(x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
tamkare form dönüştürülmesine ilişkin yorum varsayım,6,0.72089785,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
geliştir etkin şekil kullan bu bağlam Harizmi nin tamkare tamamla yöntem,6,0.92338437,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
için x2 0 ol x2 + a a ol bu durum,5,0.6340999,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
a ol cebirsel,1,0.63453865,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
kullan ve çarpan ayır gibi matematiksel doğrula yöntem,3,0.90580386,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,c)
kullanışlı açı değerlendir bekle,3,0.5277424,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
hangi aralık değer al,1,0.48411962,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
1,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
problem üretim tüketim gibi bağlam incele,7,0.5503494,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,e)
< g(x,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
= < >,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
g(x gibi denklem ve eşitsiz tanımla sağla E3 6 E3 7 bura kullanı,5,0.8905528,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
dönüşüm yapı,2,0.76671916,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,l)
=,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
< 0 gibi eşit,2,0.630096,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
m k p n,6,0.16502762,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,p)
bağ ol gelir Türk lira ve maliyet Türk lira 0 nda tanım sı,1,0.5619732,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,g)
= 4x2 ve g x = 18x fonksiyon ile modelle durum bu fonksiyon grafik,0,0.6123287,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
g x eşitsizliğ çözüm küme 9 2 ol belirle bu durum,7,0.6506584,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,x)
kullan,6,0.6541257,2. TEMA: NİCELİKLER VE DEĞİŞİMLER,i)
ver say problem say nesne belirle,7,0.8357832,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",a)
say problem yer al nesne ara ilişki belirle,7,0.8706636,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",b)
problem durum sözel ifade görsel temsil dönüş,1,0.38886493,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",c)
say problem fark durum uygun çözüm strateji oluş,7,0.92098844,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",d)
seç çözüm strateji kullan,7,0.83576304,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",e)
seç çözüm strateji kontrol et,7,0.83577454,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",f)
say problem olası çözüm strateji göz geçir,7,0.89333564,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",g)
say problem çözüim ulaş strateji yönelik çıkarım değerlen,3,0.67756665,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",h)
Karşılaş problem durum cebirsel ve fonksiyonel işlem algoritmik,7,0.4675928,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",a)
Ön bilgi kullan cebirsel ve fonksiyonel yapı ile bu yapı algorit,6,0.79905725,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",b)
ve bu problem çözüm,7,0.7751253,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",i)
102,6,0.16502762,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",e)
oluştur veya ver algoritma çözümley,7,0.7751328,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",d)
yap iş,6,0.16502762,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",a)
yönelik görüş alı bu süreç,3,0.76666784,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",i)
el al daha karmaşık bir problem durum içer say yöntem bakım,5,0.8672565,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",i)
hesap sıra,5,0.63413686,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",t)
içer i iç özdeş,5,0.76923823,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",i)
ve niceleyici her,3,0.63000035,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",k)
incele ve karekök ifade et bir irrasyonel sayı yaklaşık değer bul kul,4,0.48188233,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",i)
Öğrenci algoritma oluşturmadaki ön bilgi kullan cebirsel ve fonksiyonel,6,0.53514063,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",x)
bir çözüm üret,7,0.6433946,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",d)
oluştur iste bu ve bu gibi örnek Üzer öğrenci olası,2,0.4940022,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",d)
cebr çizge kuram en,1,0.6345362,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",l)
Üzer grup çalış veya pro,7,0.44238314,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",i)
kullan,6,0.6541257,"3. TEMA: SAYMA, ALGORİTMA VE BİLİŞİM",i)
KAVRAMSAL,2,0.63010186,5. TEMA: ANALİTİK İNCELEME,a)
dik koordinat sistem iki nokta ara uzaklık bağıntı ve bir doğru parça,2,0.91806644,5. TEMA: ANALİTİK İNCELEME,a)
fark örnek Üzer varsayım yönelik örüntü genel,6,0.7628575,5. TEMA: ANALİTİK İNCELEME,b)
iki nokta ara uzaklık bağıntı ve bir doğru parça belli oran böl,2,0.90584046,5. TEMA: ANALİTİK İNCELEME,c)
Öner gerçek yaşam problem bağlam değerlen,5,0.90687513,5. TEMA: ANALİTİK İNCELEME,d)
dik koordinat sistem doğru eğim açı eğim ve doğru birbiri,2,0.9180671,5. TEMA: ANALİTİK İNCELEME,a)
Karşılaş problem durum dik koordinat sistem doğru eğim açı,2,0.5629621,5. TEMA: ANALİTİK İNCELEME,b)
dik koordinat sistem doğru eğim açı eğim ve doğru birbiri,2,0.9180671,5. TEMA: ANALİTİK İNCELEME,c)
|AB| A,6,0.16502762,5. TEMA: ANALİTİK İNCELEME,e)
ve Fermat nın analitik geometri ilgili çalış tanı,2,0.90584564,5. TEMA: ANALİTİK İNCELEME,t)
analitik ol hesapla gerçek uzaklık karşılaş dijital okuryazar,2,0.50100994,5. TEMA: ANALİTİK İNCELEME,k)
ve Fermat nın analitik geometri ilgili çalış tanı,2,0.90584564,5. TEMA: ANALİTİK İNCELEME,t)
be,6,0.16502762,5. TEMA: ANALİTİK İNCELEME,a)
sahip iki doğru ara,2,0.6300923,5. TEMA: ANALİTİK İNCELEME,i)
f(x,6,0.16502762,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),x)
x,6,0.16502762,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),x)
tanx,5,0.6341368,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),x)
(,6,0.16502762,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),r)
Trigonometrik referans fonksiyon nitel özellik tanım küme görüntü kü,4,0.91944325,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),a)
matematiksel temsil kullan belirle,6,0.8745566,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),u)
Trigonometrik referans fonksiyon nitel özellik ile matematiksel temsil,0,0.90777093,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),b)
Trigonometrik referans fonksiyon grafik ve cebirsel temsil Üzer yap iş,0,0.91973954,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),c)
Trigonometrik referans fonksiyon türet fonksiyon nitel özellik,0,0.90777284,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),d)
Varsayım yararlan fark durum ilgili örüntü listele türet,6,0.9321861,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),e)
Genelle varsayım karşıla karşıla kontrol et,6,0.8965432,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),f)
Genelle el et öner uygun sözel veya cebirsel dil ile sun,1,0.8906775,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),g)
Öner grafiksel ol doğru veya cebirsel ol ispat,1,0.89068156,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),h)
Trigonometrik fonksiyon ifade edil denklem ilişkin matematiksel bi,0,0.91973007,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),a)
belirle,7,0.6433744,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),i)
Trigonometrik fonksiyon ifade edil denklem ilişkin matematiksel bile,0,0.9289513,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),b)
Trigonometrik fonksiyon ifade edil denklem problem bağlam,0,0.9197356,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),c)
el et ve yorumla fark temsil dayalı ol problem çözüm için stra,6,0.9233825,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),d)
Belirle strateji kullan,7,0.83575624,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),e)
el et çözüm fark yöntem kullan doğru,6,0.89653516,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),f)
Problemin olası çözüm strateji göz geçir,7,0.89333665,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),g)
Çıkarımlarının geçerli sözel cebirsel ve grafiksel argüman değerlen,1,0.9190509,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),h)
2π 360 sinx cosx cotx T tanx,2,0.6510536,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),e)
araştır ödev verilebilir ver ödev hazırlık içerik ve sunum süreç,2,0.8893463,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),i)
nokta kullan,6,0.4124451,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),y)
sinx cosx cotx,2,0.8296602,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),x)
gerçek sayı tanım ol ve bu fonksiyon görüntü küme 1 1 ol,4,0.90745914,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),x)
keşfet yönelik çalış yap f(x,3,0.766663,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),x)
k,6,0.16502762,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),r)
cebirsel temsil ifade et E3 6 E3 7 bu dönüşüm el et yorumla ma,0,0.48327532,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),x)
hareket yasa sabit ivme,5,0.76928484,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),n)
gibi önerme ilişkin ilgili fonksiyon,0,0.49544814,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),x)
k f mx,6,0.16502762,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),r)
0 m,6,0.16502762,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),x)
h(x gibi eşitlik trigonometrik denklem,0,0.83312905,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),x)
dönüşüm yap bu temsil ara geç göster,0,0.2936156,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),l)
kulla,6,0.16502762,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),i)
kullan,6,0.6541223,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (1),i)
KAVRAMSAL,2,0.63010186,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),a)
gerçek sayı tanım doğrusal ve karesel fonksiyon,4,0.9074584,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),a)
an(II) xn + an 1 xn 1 + + a1 x + a0 n,6,0.16502762,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),x)
Gözlem yol çık gerçek sayı tanım doğrusal ve karesel fonk,4,0.9194642,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),b)
form polinom fonksiyon tanım ve değer küme ile işlem özellik,4,0.919463,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),x)
tespit et özellik hareket gerçek sayı tanım doğrusal ve karesel,4,0.52691257,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),c)
siyon aynı aile ol ve benze nitel özellik sahip ol,4,0.8325732,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),x)
gerçek katsayı tek değişken polinom fonksiyon nitel özellik tanım kü,4,0.919467,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),a)
mes görüntü küme derece bir birlik örten işaret sıfır tek,5,0.4825118,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),i)
gerçek katsayı tek değişken polinom fonksiyon nitel özellik dair var,4,0.9194649,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),b)
gerçek katsayı tek değişken polinom fonksiyon nitel özellik dair genel,4,0.8037813,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),c)
gerçek katsayı tek değişken polinom fonksiyon nitel özellik dair öner,4,0.9287119,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),d)
Polinom ve rasyonel fonksiyon ifade edil denklem ve eşitsizlik içer,0,0.92895967,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),a)
Oluşturduğu strateji kullan problem çöze,7,0.8706585,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),b)
Problemin çözüm kontrol et,7,0.8357786,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),c)
Problemin olası çözüm strateji fark problem durum kullanım ile ilgili,7,0.93726015,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),d)
Çıkarımlarının geçerli sözel cebirsel ve grafiksel argüman değerlen,1,0.9190509,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),e)
Öğrenme çıktı çalış kâğıd performans görev proje ödev açık uç soru ve araş,7,0.9431463,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),e)
polinom ol adlandır belir polinom derece başkatsayı sabit terim tanı,5,0.91893905,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),x)
matematik yazılım oluştur,0,0.8331307,1. TEMA: NİCELİKLER VE DEĞİŞİMLER (2),i)
