section,item,text,curriculum_type,curriculum_name
"10.4.1.3. Bir karmaşık sayının a+ib (a,b",b),= −1 olmak üzere bir karmaşık sayı,numeric-based,math_curriculum_2018
"10.4.1.3. Bir karmaşık sayının a+ib (a,b",c),Köklerin birbirinin eşleniği olduğu belirtilir.,numeric-based,math_curriculum_2018
10.4.1.4.  İkinci  dereceden  bir  bilinmeyenli  denklemin  kökleri  ile  katsayıları  arasındaki  ilişkileri,a),Sadece kökler toplamı ve çarpımı ile denklemin katsayıları arasındaki ilişkiler üzerinde durulur.,numeric-based,math_curriculum_2018
10.4.1.4.  İkinci  dereceden  bir  bilinmeyenli  denklemin  kökleri  ile  katsayıları  arasındaki  ilişkileri,b),Kökleri verilen ikinci dereceden denklemi elde etme ile ilgili uygulamalara yer verilir.,numeric-based,math_curriculum_2018
10.5.1.1. Çokgen kavramını açıklayarak işlemler yapar.,a),İçbükey çokgenlere girilmez.,numeric-based,math_curriculum_2018
10.5.1.1. Çokgen kavramını açıklayarak işlemler yapar.,b),"Düzgün çokgenler hatırlatılır, iç ve dış açılarının ölçüleri bulunur.",numeric-based,math_curriculum_2018
10.5.1.1. Çokgen kavramını açıklayarak işlemler yapar.,c),Çokgenlerin köşegenleri ile ilgili özelliklere ve alan problemlerine yer verilmez.,numeric-based,math_curriculum_2018
10.5.2.1. Dörtgenin temel elemanlarını ve özelliklerini açıklayarak problemler çözer.,a),Dışbükey ve içbükey dörtgen kavramları açıklanır. (Bundan sonra dörtgen denildiğinde dış bükey,numeric-based,math_curriculum_2018
10.5.2.1. Dörtgenin temel elemanlarını ve özelliklerini açıklayarak problemler çözer.,b),Dörtgenin iç ve dış açılarının ölçüleri toplamı bulunur.,numeric-based,math_curriculum_2018
10.5.2.1. Dörtgenin temel elemanlarını ve özelliklerini açıklayarak problemler çözer.,c),Dörtgenin çevresi üzerinde durulur.,numeric-based,math_curriculum_2018
"10.5.3.1. Özel dörtgenlerin açı, kenar, köşegen ve alan özelliklerini açıklayarak problemler çözer.",a),"Yamuk, paralelkenar, eşkenar dörtgen, dikdörtgen, kare ve deltoid arasındaki hiyerarşik ilişkilere yer",numeric-based,math_curriculum_2018
"10.5.3.1. Özel dörtgenlerin açı, kenar, köşegen ve alan özelliklerini açıklayarak problemler çözer.",b),"Hiyerarşik ilişkiye göre her bir özel dörtgen kendi içerisinde; açı, kenar, köşegen ve alan özellikleri",numeric-based,math_curriculum_2018
"10.5.3.1. Özel dörtgenlerin açı, kenar, köşegen ve alan özelliklerini açıklayarak problemler çözer.",c),"Origami, tangram kullanılarak uygulamalar yapılır.",numeric-based,math_curriculum_2018
"10.5.3.1. Özel dörtgenlerin açı, kenar, köşegen ve alan özelliklerini açıklayarak problemler çözer.",d),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
"10.6.1.1. Dik prizmalar ve dik piramitlerin uzunluk, alan ve hacim bağıntılarını oluşturur.",a),"Üçgen, dörtgen ve altıgen dik prizma/piramit ile sınırlandırılır.",numeric-based,math_curriculum_2018
"10.6.1.1. Dik prizmalar ve dik piramitlerin uzunluk, alan ve hacim bağıntılarını oluşturur.",b),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
"10.6.1.1. Dik prizmalar ve dik piramitlerin uzunluk, alan ve hacim bağıntılarını oluşturur.",c),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
11.1.1.2. Açı ölçü birimlerini açıklayarak birbiri ile ilişkilendirir.,a),Derecenin alt birimleri olan dakika ve saniyeden bahsedilir.,numeric-based,math_curriculum_2018
11.1.1.2. Açı ölçü birimlerini açıklayarak birbiri ile ilişkilendirir.,b),"Derece ile radyan ilişkilendirilir, grada girilmez.",numeric-based,math_curriculum_2018
11.1.1.2. Açı ölçü birimlerini açıklayarak birbiri ile ilişkilendirir.,c),Açının esas ölçüsü bulunur.,numeric-based,math_curriculum_2018
11.1.2.1. Trigonometrik fonksiyonları birim çember yardımıyla açıklar.,a),"Trigonometrik  fonksiyonlar  arasındaki  temel  özdeşlikler,  oluşturulan  benzer  üçgenler  yardımıyla",numeric-based,math_curriculum_2018
11.1.2.1. Trigonometrik fonksiyonları birim çember yardımıyla açıklar.,b),Trigonometrik fonksiyonların bölgelere göre işaretleri incelenir.,numeric-based,math_curriculum_2018
11.1.2.2. Kosinüs teoremiyle ilgili problemler çözer.,a),"Kosinüs teoremi, Pisagor teoreminden yararlanılarak elde edilir.",numeric-based,math_curriculum_2018
11.1.2.2. Kosinüs teoremiyle ilgili problemler çözer.,b),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
11.1.2.3. Sinüs teoremiyle ilgili problemler çözer.,a),"Sinüs teoremi, iki kenarının uzunluğu ve bu kenarlar arasındaki açının ölçüsü verilen üçgenin alanından",numeric-based,math_curriculum_2018
11.1.2.3. Sinüs teoremiyle ilgili problemler çözer.,b),Sinüs teoremi çevrel çemberle ilişkilendirilmez.,numeric-based,math_curriculum_2018
11.1.2.3. Sinüs teoremiyle ilgili problemler çözer.,c),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
11.1.2.4. Trigonometrik fonksiyon grafiklerini çizer.,a),y=sinx  ve  y=cosx  fonksiyonları  dışındaki  fonksiyonların  grafik  çizimlerinde  sadece  bilgi  ve  iletişim,numeric-based,math_curriculum_2018
11.1.2.4. Trigonometrik fonksiyon grafiklerini çizer.,b),"Periyodik fonksiyon tanımı verilir, trigonometrik fonksiyonların periyodik oldukları gösterilir.",numeric-based,math_curriculum_2018
11.1.2.4. Trigonometrik fonksiyon grafiklerini çizer.,c),türündeki fonksiyonların grafikleri ve katsayılarının grafik üzerindeki etkileri,numeric-based,math_curriculum_2018
11.1.2.4. Trigonometrik fonksiyon grafiklerini çizer.,d),Sekant ve kosekant fonksiyonlarının grafiklerine yer verilmez.,numeric-based,math_curriculum_2018
11.2.1.2. Bir doğru parçasını belli bir oranda (içten veya dıştan) bölen noktanın koordinatlarını hesaplar.,a),Bir doğru parçasının orta noktasının koordinatları buldurulur.,numeric-based,math_curriculum_2018
11.2.1.2. Bir doğru parçasını belli bir oranda (içten veya dıştan) bölen noktanın koordinatlarını hesaplar.,b),Bir üçgenin ağırlık merkezinin koordinatları buldurulur.,numeric-based,math_curriculum_2018
11.2.1.3. Analitik düzlemde doğruları inceleyerek işlemler yapar.,a),Bir doğrunun eğim açısı ve eğimi tanımlanır.,numeric-based,math_curriculum_2018
11.2.1.3. Analitik düzlemde doğruları inceleyerek işlemler yapar.,b),Analitik düzlemde bir doğrunun denklemi oluşturulur.,numeric-based,math_curriculum_2018
11.2.1.3. Analitik düzlemde doğruları inceleyerek işlemler yapar.,c),Eksenlere paralel ve orijinden geçen doğruların denklemleri bulunur ve bulunan denklemlerin grafikleri,numeric-based,math_curriculum_2018
11.2.1.3. Analitik düzlemde doğruları inceleyerek işlemler yapar.,d),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,a),"Grafiğin x ve y eksenlerini kestiği noktalar; fonksiyonun pozitif, negatif, artan ve azalan olduğu aralıklar;",numeric-based,math_curriculum_2018
11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,a),anlamları  grafik,numeric-based,math_curriculum_2018
11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,b),"Cebirsel ifade, grafik veya tablo ile verilen bir fonksiyonun belli bir aralıktaki ortalama değişim hızı",numeric-based,math_curriculum_2018
11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,c),Fonksiyonun grafiği bilgi ve iletişim teknolojileri yardımıyla çizilir ve yorumlanır.,numeric-based,math_curriculum_2018
11.3.2.1. İkinci dereceden bir değişkenli fonksiyonun grafiğini çizerek yorumlar.,a),"Fonksiyonun grafiğinin tepe noktası, eksenleri kestiği noktalar ve simetri ekseni buldurulur.",numeric-based,math_curriculum_2018
11.3.2.1. İkinci dereceden bir değişkenli fonksiyonun grafiğini çizerek yorumlar.,b),Fonksiyonun grafiğinin tepe noktası ile fonksiyonun en küçük ya da en büyük değeri ilişkilendirilir.,numeric-based,math_curriculum_2018
11.3.2.1. İkinci dereceden bir değişkenli fonksiyonun grafiğini çizerek yorumlar.,c),"Fonksiyonun  katsayılarındaki  değişimin,",numeric-based,math_curriculum_2018
11.3.2.1. İkinci dereceden bir değişkenli fonksiyonun grafiğini çizerek yorumlar.,d),Bir doğru ile bir parabolün birbirine göre durumları incelenir.,numeric-based,math_curriculum_2018
"11.3.3.1. Bir fonksiyonun grafiğinden, dönüşümler yardımı ile yeni fonksiyon grafikleri çizer.",a),Tek ve çift fonksiyonların grafiğinin simetri özellikleri üzerinde durulur.,numeric-based,math_curriculum_2018
"11.3.3.1. Bir fonksiyonun grafiğinden, dönüşümler yardımı ile yeni fonksiyon grafikleri çizer.",b),dönüşümlerinin,numeric-based,math_curriculum_2018
11.4.2.1. İkinci dereceden bir bilinmeyenli eşitsizliklerin çözüm kümesini bulur.,a),ax  +  b  veya,numeric-based,math_curriculum_2018
11.4.2.1. İkinci dereceden bir bilinmeyenli eşitsizliklerin çözüm kümesini bulur.,b),Bilgi ve iletişim teknolojilerinden yararlanılarak çizilen grafikler yardımıyla çözüm yorumlatılır.,numeric-based,math_curriculum_2018
11.5.1.2. Çemberde kirişin özelliklerini göstererek işlemler yapar.,a),"Bir çemberde, kirişin orta dikmesinin çemberin merkezinden geçtiği ve bir kirişin orta noktasını çemberin",numeric-based,math_curriculum_2018
11.5.1.2. Çemberde kirişin özelliklerini göstererek işlemler yapar.,b),Bir çemberde kirişlerin uzunlukları ile merkeze olan uzaklıkları arasındaki ilişki üzerinde durulur.,numeric-based,math_curriculum_2018
"11.5.2.1. Bir çemberde merkez, çevre, iç, dış ve teğet-kiriş açıların özelliklerini kullanarak işlemler yapar.",a),Üçgenin çevrel çemberi çizdirilir.,numeric-based,math_curriculum_2018
"11.5.2.1. Bir çemberde merkez, çevre, iç, dış ve teğet-kiriş açıların özelliklerini kullanarak işlemler yapar.",b),Sinüs teoreminin çevrel çemberin yarıçapı ile ilişkisi üzerinde durulur.,numeric-based,math_curriculum_2018
"11.5.2.1. Bir çemberde merkez, çevre, iç, dış ve teğet-kiriş açıların özelliklerini kullanarak işlemler yapar.",c),Pergel-cetvelden veya bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
11.5.3.1. Çemberde teğetin özelliklerini göstererek işlemler yapar.,a),Çemberin dışındaki bir noktadan çizilen teğet parçalarının uzunluklarının eşit olduğu gösterilir.,numeric-based,math_curriculum_2018
11.5.3.1. Çemberde teğetin özelliklerini göstererek işlemler yapar.,b),Üçgenin iç teğet ve dış teğet çemberleri çizilir.,numeric-based,math_curriculum_2018
11.5.3.1. Çemberde teğetin özelliklerini göstererek işlemler yapar.,c),İki çemberin ortak teğetine girilmez.,numeric-based,math_curriculum_2018
11.5.4.1. Dairenin çevre ve alan bağıntılarını oluşturur.,a),Dairenin çevresi ve alanı ile ilgili uygulamalar yapılır.,numeric-based,math_curriculum_2018
11.5.4.1. Dairenin çevre ve alan bağıntılarını oluşturur.,b),Daire diliminin alanı ve yay uzunluğu bağıntıları buldurularak uygulamalar yapılır.,numeric-based,math_curriculum_2018
11.5.4.1. Dairenin çevre ve alan bağıntılarını oluşturur.,c),Archimedes’in çalışmalarına yer verilir.,numeric-based,math_curriculum_2018
"11.6.1.1. Küre, dik dairesel silindir ve dik dairesel koninin alan ve hacim bağıntılarını oluşturarak",a),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
"11.6.1.1. Küre, dik dairesel silindir ve dik dairesel koninin alan ve hacim bağıntılarını oluşturarak",b),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
11.7.1.1. Koşullu olasılığı açıklayarak problemler çözer.,a),Olasılık konusunun tarihsel gelişim sürecinden bahsedilir.,numeric-based,math_curriculum_2018
11.7.1.1. Koşullu olasılığı açıklayarak problemler çözer.,b),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
11.7.1.3. Bileşik olayı açıklayarak gerçekleşme olasılığını hesaplar.,a),Ağaç şemasından yararlanılır.,numeric-based,math_curriculum_2018
11.7.1.3. Bileşik olayı açıklayarak gerçekleşme olasılığını hesaplar.,b),En fazla üç aşamalı olaylardan seçim yapılır.,numeric-based,math_curriculum_2018
11.7.1.3. Bileşik olayı açıklayarak gerçekleşme olasılığını hesaplar.,c),"“ve, veya” bağlaçları ile oluşturulan olayların olasılıkları hesaplatılır.",numeric-based,math_curriculum_2018
12.1.1.1. Üstel fonksiyonu açıklar.,a),Üstel fonksiyonlara neden ihtiyaç duyulduğu vurgulanmalıdır.,numeric-based,math_curriculum_2018
12.1.1.1. Üstel fonksiyonu açıklar.,b),Üslü ifadeler ve bunlarla yapılan işlemlerin özellikleri hatırlatılır.,numeric-based,math_curriculum_2018
12.1.1.1. Üstel fonksiyonu açıklar.,c),Üstel fonksiyonların bire bir ve örten olduğu grafik yardımıyla gösterilir.,numeric-based,math_curriculum_2018
12.1.1.1. Üstel fonksiyonu açıklar.,x),=  ax  fonksiyonunun  grafiğinin  değişimini  incelemek  için  bilgi  ve  iletişim,numeric-based,math_curriculum_2018
12.1.2.1. Logaritma fonksiyonu ile üstel fonksiyonu ilişkilendirerek problemler çözer.,a),{1} olmak üzere logaritma fonksiyonunun grafiği üstel fonksiyonun grafiğinden yararlanarak,numeric-based,math_curriculum_2018
12.1.2.1. Logaritma fonksiyonu ile üstel fonksiyonu ilişkilendirerek problemler çözer.,b),𝑦𝑦 = 𝑎𝑎,numeric-based,math_curriculum_2018
12.1.2.1. Logaritma fonksiyonu ile üstel fonksiyonu ilişkilendirerek problemler çözer.,c),Gelenbevi İsmail Efendi ve John Napier’in çalışmalarına yer verilir.,numeric-based,math_curriculum_2018
12.1.3.2. Üstel ve logaritmik fonksiyonları gerçek hayat durumlarını modellemede kullanır.,a),"Gerçek hayat durumlarından nüfus artışı, bakteri popülasyonu, radyoaktif maddelerin bozunumu (yarı",numeric-based,math_curriculum_2018
12.1.3.2. Üstel ve logaritmik fonksiyonları gerçek hayat durumlarını modellemede kullanır.,l),gibi örneklere,numeric-based,math_curriculum_2018
12.1.3.2. Üstel ve logaritmik fonksiyonları gerçek hayat durumlarını modellemede kullanır.,b),İsraf ve tasarruf kavramları hakkında farkındalık oluşturacak örneklere yer verilir.,numeric-based,math_curriculum_2018
12.1.3.2. Üstel ve logaritmik fonksiyonları gerçek hayat durumlarını modellemede kullanır.,c),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
12.2.1.3. Aritmetik ve geometrik dizilerin özelliklerini kullanarak işlemler yapar.,a),İlk n terim toplamı bulunur.,numeric-based,math_curriculum_2018
12.2.1.3. Aritmetik ve geometrik dizilerin özelliklerini kullanarak işlemler yapar.,b),Toplam sembolü tanıtılır ancak özellikleri verilmez.,numeric-based,math_curriculum_2018
12.3.2.1. Trigonometrik denklemlerin çözüm kümelerini bulur.,a),olmak  üzere,numeric-based,math_curriculum_2018
12.3.2.1. Trigonometrik denklemlerin çözüm kümelerini bulur.,b),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
12.3.2.1. Trigonometrik denklemlerin çözüm kümelerini bulur.,c),El Battani’nin çalışmalarına yer verilir.,numeric-based,math_curriculum_2018
"12.4.1.1. Analitik düzlemde koordinatları verilen bir noktanın öteleme, dönme ve simetri dönüşümleri",a),"Öteleme, simetri ve dönme kavramları hatırlatılır.",numeric-based,math_curriculum_2018
"12.4.1.1. Analitik düzlemde koordinatları verilen bir noktanın öteleme, dönme ve simetri dönüşümleri",b),"Noktanın;  noktaya,  eksenlere,  y=x  doğrusuna,  bir  doğruya  göre  simetrileri  ve  doğrunun  noktaya  göre",numeric-based,math_curriculum_2018
"12.4.1.1. Analitik düzlemde koordinatları verilen bir noktanın öteleme, dönme ve simetri dönüşümleri",c),"Bilgi ve iletişim teknolojileri yardımıyla öteleme, simetri ve dönme ele alınır.",numeric-based,math_curriculum_2018
12.4.1.2. Temel dönüşümler ve bileşkeleriyle ilgili problem çözer.,a),Modelleme çalışmalarına yer verilir.,numeric-based,math_curriculum_2018
12.4.1.2. Temel dönüşümler ve bileşkeleriyle ilgili problem çözer.,b),Doğadan ve mimari eserlerden örneklendirme yapılır.,numeric-based,math_curriculum_2018
"12.5.1.1. Bir fonksiyonun bir noktadaki limiti, soldan limit ve sağdan limit kavramlarını açıklar.",a),"Limit  kavramı  bir  bağımsız  değişkenin  verilen  bir  sayıya  yaklaşmasından  hareketle,  tablo  ve  grafikler",numeric-based,math_curriculum_2018
"12.5.1.1. Bir fonksiyonun bir noktadaki limiti, soldan limit ve sağdan limit kavramlarını açıklar.",b),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
"12.5.1.1. Bir fonksiyonun bir noktadaki limiti, soldan limit ve sağdan limit kavramlarını açıklar.",c),Cauchy’nin çalışmalarına yer verilir.,numeric-based,math_curriculum_2018
12.5.1.2. Limit ile ilgili özellikleri belirterek uygulamalar yapar.,a),"Polinom,  köklü,  üstel,  logaritmik  ve  trigonometrik  fonksiyonlar  içeren  limit  uygulamaları  yapılır  ancak",numeric-based,math_curriculum_2018
12.5.1.2. Limit ile ilgili özellikleri belirterek uygulamalar yapar.,b),Sadece pay ve paydası çarpanlarına ayrılarak belirsizliğin kaldırılabileceği limit örneklerine yer verilir.,numeric-based,math_curriculum_2018
12.5.1.3. Bir fonksiyonun bir noktadaki sürekliliğini açıklar.,a),Fonksiyonun grafiği üzerinde sürekli ve süreksiz olduğu noktalar buldurulur.,numeric-based,math_curriculum_2018
12.5.1.3. Bir fonksiyonun bir noktadaki sürekliliğini açıklar.,b),Limitin tarihsel gelişiminden ve Salih Zeki’nin bu alana katkılarından bahsedilir.,numeric-based,math_curriculum_2018
12.5.1.3. Bir fonksiyonun bir noktadaki sürekliliğini açıklar.,c),Bilgi ve iletişim teknolojileri yardımıyla süreklilik uygulamaları yaptırılır.,numeric-based,math_curriculum_2018
12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,a),Anlık değişim oranı fizik ve geometri modellerinden yararlanılarak açıklanır.,numeric-based,math_curriculum_2018
12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,b),Verilen  bir  fonksiyonun  bir  noktadaki  türev  değeri  ile  o  noktadaki  teğetinin  eğimi  arasındaki  ilişki,numeric-based,math_curriculum_2018
12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,c),Bir fonksiyonun bir noktadaki soldan türevi ve sağdan türevi ile türev arasındaki ilişki açıklanır.,numeric-based,math_curriculum_2018
12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,x),"= c,",numeric-based,math_curriculum_2018
12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,l),türev kurallarına yer verilmez.,numeric-based,math_curriculum_2018
12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,d),Rolle’nin çalışmalarına yer verilir.,numeric-based,math_curriculum_2018
12.5.2.2. Bir fonksiyonun bir noktada ve bir aralıkta türevlenebilirliğini değerlendirir.,a),Bir fonksiyonun bir noktada türevli olması için gerek ve yeter şartları inceler.,numeric-based,math_curriculum_2018
12.5.2.2. Bir fonksiyonun bir noktada ve bir aralıkta türevlenebilirliğini değerlendirir.,b),Fonksiyonun türevli olmadığı noktalarla grafiği arasında ilişki kurulur.,numeric-based,math_curriculum_2018
12.5.3.3. Türevi yardımıyla bir fonksiyonun grafiğini çizer.,b),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
12.6.1.1. Bir fonksiyonun belirsiz integralini açıklayarak integral alma kurallarını oluşturur.,a),Belirsiz integral alma kuralları n≠ -1 olmak üzere,numeric-based,math_curriculum_2018
12.6.1.1. Bir fonksiyonun belirsiz integralini açıklayarak integral alma kurallarını oluşturur.,b),"Bir  fonksiyonun  bir  sabitle  çarpımının,  iki  fonksiyonun  toplamının  ve  farkının  integral  alma  kuralları",numeric-based,math_curriculum_2018
12.6.2.1. Bir fonksiyonun grafiği ile x ekseni arasında kalan sınırlı bölgenin alanını Riemann toplamı,a),"Gerçek hayatta karşılaşılan ve değeri alan formülleriyle hesaplanamayan alanların, uygun toplamların",numeric-based,math_curriculum_2018
12.6.2.1. Bir fonksiyonun grafiği ile x ekseni arasında kalan sınırlı bölgenin alanını Riemann toplamı,b),Polinom fonksiyonlarla sınırlandırılır.,numeric-based,math_curriculum_2018
12.6.2.1. Bir fonksiyonun grafiği ile x ekseni arasında kalan sınırlı bölgenin alanını Riemann toplamı,c),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
12.6.2.4. Belirli integral ile alan hesabı yapar.,a),İki fonksiyonun grafikleri arasında kalan sınırlı bölgenin alanı hesaplanır.,numeric-based,math_curriculum_2018
12.6.2.4. Belirli integral ile alan hesabı yapar.,b),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
12.6.2.4. Belirli integral ile alan hesabı yapar.,c),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
12.7.1.1. Merkezi ve yarıçapı verilen çemberin denklemini oluşturur.,a),merkezli  ve,numeric-based,math_curriculum_2018
12.7.1.1. Merkezi ve yarıçapı verilen çemberin denklemini oluşturur.,b),2,numeric-based,math_curriculum_2018
12.7.1.1. Merkezi ve yarıçapı verilen çemberin denklemini oluşturur.,c),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
12.7.1.2. Denklemleri verilen doğru ile çemberin birbirine göre durumlarını belirleyerek işlemler yapar.,a),Doğru ile çemberin varsa kesişim noktaları bulunur.,numeric-based,math_curriculum_2018
12.7.1.2. Denklemleri verilen doğru ile çemberin birbirine göre durumlarını belirleyerek işlemler yapar.,b),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
11.3.2.2. Seyahatlerde mümkün olan alternatifleri karşılaştırır.,a),Seyahatin yaklaşık maliyet analizi yaptırılır.,numeric-based,math_curriculum_2018
11.3.2.2. Seyahatlerde mümkün olan alternatifleri karşılaştırır.,b),Gidilecek yere ilişkin bir zaman çizelgesi yaptırılır.,numeric-based,math_curriculum_2018
11.4.3.1. Dairenin çevre ve alan bağıntılarını oluşturur.,a),Dairenin çevresi ve alanı ile ilgili işlemler yapar.,numeric-based,math_curriculum_2018
11.4.3.1. Dairenin çevre ve alan bağıntılarını oluşturur.,b),Daire diliminin alanı ve yay uzunluğu bağıntıları verilir.,numeric-based,math_curriculum_2018
12.1.1.1. Üslü ve köklü ifadeler içeren denklemler çözer.,a),Üslü ve köklü ifadelerin özellikleri hatırlatılır.,numeric-based,math_curriculum_2018
12.1.1.1. Üslü ve köklü ifadeler içeren denklemler çözer.,b),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
"12.1.2.1. Yüzde, oran ve orantı kavramlarıyla ilgili problemler çözer.",a),Yüzde hesaplamalarında aşağıda verilen bağlamlardan yararlanılabilir:,numeric-based,math_curriculum_2018
"12.1.2.1. Yüzde, oran ve orantı kavramlarıyla ilgili problemler çözer.",b),Oran ve orantı kavramlarını içeren problemler oluşturulurken aşağıda verilen bağlamlardan,numeric-based,math_curriculum_2018
"12.1.2.1. Yüzde, oran ve orantı kavramlarıyla ilgili problemler çözer.",c),Tutumlu olma hakkında farkındalık oluşturacak örneklere yer verilir.,numeric-based,math_curriculum_2018
12.2.1.1. Gerçek hayat durumlarıyla ilgili istatistik problemleri çözer.,a),"Veri toplama, düzenleme, temsil etme ve yorumlama aşamalarına yer verilir.",numeric-based,math_curriculum_2018
12.2.1.1. Gerçek hayat durumlarıyla ilgili istatistik problemleri çözer.,b),Bir  veri  grubunu  temsil  edecek  en  uygun  grafik  çeşidi  üzerinde  durulur.  Farklı  grafik  çeşitlerinin,numeric-based,math_curriculum_2018
12.2.1.1. Gerçek hayat durumlarıyla ilgili istatistik problemleri çözer.,c),"Problemler seçilirken toplumsal duyarlılığı geliştirebilecek çevre bilinci, okuma alışkanlıkları gibi konulara",numeric-based,math_curriculum_2018
"12.3.1.1. Çevre, alan ve hacim ölçmeye yönelik problemler çözer.",a),"Bir  nesnenin  belli  bir  oranda  büyütülmüş  ya  da  küçültülmüş  çizimini  kullanarak,  mesafesi,  çevre",numeric-based,math_curriculum_2018
"12.3.1.1. Çevre, alan ve hacim ölçmeye yönelik problemler çözer.",b),"Bir nesnenin belli bir oranda büyütülmüş veya küçültülmüş çizimleri, ölçekli kâğıt üzerine çizdirilir.",numeric-based,math_curriculum_2018
"12.3.1.1. Çevre, alan ve hacim ölçmeye yönelik problemler çözer.",c),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
12.4.1.1. Küre ve dik dairesel silindirin alan ve hacim ölçmeye yönelik problemler çözer.,a),Gerçek hayat problemlerine yer verilir.,numeric-based,math_curriculum_2018
12.4.1.1. Küre ve dik dairesel silindirin alan ve hacim ölçmeye yönelik problemler çözer.,b),Bilgi ve iletişim teknolojilerinden yararlanılır.,numeric-based,math_curriculum_2018
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,a),KAVRAMSAL,2024-style,math_curriculum_2024
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,a),Doğrusal ilişkiler içeren problemlerin çözümlerinde kullanılabilecek matematiksel,2024-style,math_curriculum_2024
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,b),Doğrusal ilişkiler içeren problemlerin çözümleri için kullanılabilecek matematiksel,2024-style,math_curriculum_2024
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,c),Doğrusal ilişkiler içeren problemlerin çözümleri için belirlediği matematiksel araç,2024-style,math_curriculum_2024
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,e),"x, y",2024-style,math_curriculum_2024
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,i),öğ-,2024-style,math_curriculum_2024
1. TEMA: NİCELİKLER VE DEĞİŞİMLER,i),fark etmeye yönelik çalışmalara yer verilir. Doğrusal ilişki içeren gerçek yaşam,2024-style,math_curriculum_2024
2. TEMA: MANTIKSAL ÇIKARIM,a),Problemlerde verilen matematiksel yapıları belirler.,2024-style,math_curriculum_2024
2. TEMA: MANTIKSAL ÇIKARIM,b),Problemlerde verilen matematiksel yapılar ile problemlere uygun  farklı matema-,2024-style,math_curriculum_2024
2. TEMA: MANTIKSAL ÇIKARIM,c),Problemlerde verilen matematiksel yapıları farklı matematiksel  temsillere dönüş-,2024-style,math_curriculum_2024
2. TEMA: MANTIKSAL ÇIKARIM,d),Elde ettiği ve yorumladığı farklı temsillere dayalı problemlerin çözümleri için stra-,2024-style,math_curriculum_2024
2. TEMA: MANTIKSAL ÇIKARIM,e),Karşılaşılan problemlerde seçtiği çözüm stratejilerini kullanır.,2024-style,math_curriculum_2024
2. TEMA: MANTIKSAL ÇIKARIM,f),Kullandığı çözüm stratejilerini kontrol eder.,2024-style,math_curriculum_2024
2. TEMA: MANTIKSAL ÇIKARIM,g),Çözümüne ulaştığı problemler için olası farklı çözüm stratejilerini inceler.,2024-style,math_curriculum_2024
2. TEMA: MANTIKSAL ÇIKARIM,h),Çözüme ulaştıran stratejilere yönelik çıkarımlarını bu stratejilerin kullanılabileceği,2024-style,math_curriculum_2024
2. TEMA: MANTIKSAL ÇIKARIM,e),ÖĞRENME-ÖĞRETME,2024-style,math_curriculum_2024
