text,dominant_topic,topic_percent,section,item,ai_relevance_score
bir üçgen ağırlık merkez koordinat buldur,1,0.6266306,11.2.1.2. Bir doğru parçasını belli bir oranda (içten veya dıştan) bölen noktanın koordinatlarını hesaplar.,b),0
bir doğru eğim açı ve eğim tanımla,1,0.9212438,11.2.1.3. Analitik düzlemde doğruları inceleyerek işlemler yapar.,a),0
Analitik düzlem bir doğru denklem oluştur,0,0.9137667,11.2.1.3. Analitik düzlemde doğruları inceleyerek işlemler yapar.,b),0
Eksen paralel ve orij geç doğru denklem bulun ve bulun denklem grafik,0,0.80475914,11.2.1.3. Analitik düzlemde doğruları inceleyerek işlemler yapar.,c),1
 ve iletişim teknoloji yararlan,0,0.8893914,11.2.1.3. Analitik düzlemde doğruları inceleyerek işlemler yapar.,d),1
Grafik x ve y eksen kes nokta fonksiyon pozitif negatif art ve azal ol aralık,2,0.91651446,11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,a),1
anlam grafik,2,0.758756,11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,a),1
Cebirsel ifade grafik veya tablo ile ver bir fonksiyon belli bir aralık ortalama değişim hız,2,0.95590234,11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,b),3
Fonksiyon grafik bilgi ve iletişim teknoloji yardım çiz ve yorumla,2,0.9424402,11.3.1.1. Fonksiyonun grafik ve tablo temsilini kullanarak problem çözer.,c),3
Fonksiyon grafiğ tepe nokta eksen kes nokta ve simetri eksen buldur,0,0.953512,11.3.2.1. İkinci dereceden bir değişkenli fonksiyonun grafiğini çizerek yorumlar.,a),0
Fonksiyon grafiğ tepe nokta ile fonksiyon en küçük ya da en büyük değer ilişkilendir,0,0.94765365,11.3.2.1. İkinci dereceden bir değişkenli fonksiyonun grafiğini çizerek yorumlar.,b),2
Fonksiyon katsayı değişim,2,0.85286444,11.3.2.1. İkinci dereceden bir değişkenli fonksiyonun grafiğini çizerek yorumlar.,c),0
bir doğru ile bir parabol birbiri göre durum incele,0,0.92892253,11.3.2.1. İkinci dereceden bir değişkenli fonksiyonun grafiğini çizerek yorumlar.,d),0
tek ve çift fonksiyon grafik simetri özellik Üzer dur,2,0.9167815,"11.3.3.1. Bir fonksiyonun grafiğinden, dönüşümler yardımı ile yeni fonksiyon grafikleri çizer.",a),2
dönüşüm,1,0.37043518,"11.3.3.1. Bir fonksiyonun grafiğinden, dönüşümler yardımı ile yeni fonksiyon grafikleri çizer.",b),0
ax + b veya,1,0.37043518,11.4.2.1. İkinci dereceden bir bilinmeyenli eşitsizliklerin çözüm kümesini bulur.,a),0
bilgi ve iletişim teknoloji yararlan çiz grafik yardım çözüm yorumlat,2,0.5296394,11.4.2.1. İkinci dereceden bir bilinmeyenli eşitsizliklerin çözüm kümesini bulur.,b),4
bir çember kiriş orta dik çember merkez geç ve bir kiriş orta nokta çember,0,0.9583328,11.5.1.2. Çemberde kirişin özelliklerini göstererek işlemler yapar.,a),0
bir çember kiriş uzunluk ile merkez ol uzaklık ara ilişki Üzer dur,1,0.9455458,11.5.1.2. Çemberde kirişin özelliklerini göstererek işlemler yapar.,b),1
 çevrel çember çizdir,0,0.8892241,"11.5.2.1. Bir çemberde merkez, çevre, iç, dış ve teğet-kiriş açıların özelliklerini kullanarak işlemler yapar.",a),0
Sinüs teorem çevrel çember yarıçap ile ilişki Üzer dur,0,0.93749774,"11.5.2.1. Bir çemberde merkez, çevre, iç, dış ve teğet-kiriş açıların özelliklerini kullanarak işlemler yapar.",b),1
Pergel cetvel veya bilgi ve iletişim teknoloji yararlan,2,0.6885799,"11.5.2.1. Bir çemberde merkez, çevre, iç, dış ve teğet-kiriş açıların özelliklerini kullanarak işlemler yapar.",c),2
 dış bir nokta çiz teğet parça uzunluk eşit ol göster,2,0.9420713,11.5.3.1. Çemberde teğetin özelliklerini göstererek işlemler yapar.,a),0
 iç teğet ve dış teğet çember çiz,2,0.62262374,11.5.3.1. Çemberde teğetin özelliklerini göstererek işlemler yapar.,b),0
iki çember ortak teğet gir,2,0.6209002,11.5.3.1. Çemberde teğetin özelliklerini göstererek işlemler yapar.,c),0
Daire çevre ve alan ile ilgili uygulama yap,1,0.93622416,11.5.4.1. Dairenin çevre ve alan bağıntılarını oluşturur.,a),1
 dilim alan ve yay uzunluk bağıntı buldur uygulama yap,2,0.9416322,11.5.4.1. Dairenin çevre ve alan bağıntılarını oluşturur.,b),1
Archimedes in çalış yer ver,2,0.7597881,11.5.4.1. Dairenin çevre ve alan bağıntılarını oluşturur.,c),0
gerçek hayat(I) problem yer ver,1,0.9010753,"11.6.1.1. Küre, dik dairesel silindir ve dik dairesel koninin alan ve hacim bağıntılarını oluşturarak",a),1
 ve iletişim teknoloji yararlan,0,0.88938063,"11.6.1.1. Küre, dik dairesel silindir ve dik dairesel koninin alan ve hacim bağıntılarını oluşturarak",b),1
olasılık konu tarihsel gelişim sürec bahsed,2,0.9428234,11.7.1.1. Koşullu olasılığı açıklayarak problemler çözer.,a),1
gerçek hayat(I) problem yer ver,1,0.9010753,11.7.1.1. Koşullu olasılığı açıklayarak problemler çözer.,b),1
ağaç şema yararlan,0,0.748418,11.7.1.3. Bileşik olayı açıklayarak gerçekleşme olasılığını hesaplar.,a),0
en fazla üç aşama olay seçim yap,2,0.89462703,11.7.1.3. Bileşik olayı açıklayarak gerçekleşme olasılığını hesaplar.,b),0
ve veya bağlaç ile oluş olay olasılık hesaplat,2,0.7888456,11.7.1.3. Bileşik olayı açıklayarak gerçekleşme olasılığını hesaplar.,c),1
Üstel fonksiyon neden ihtiyaç duyul vurgulan,2,0.75970113,12.1.1.1. Üstel fonksiyonu açıklar.,a),2
Üs ifade ve bu yap işlem özellik hatırlat,2,0.9169791,12.1.1.1. Üstel fonksiyonu açıklar.,b),1
Üstel fonksiyon bir bir ve ört ol grafik yardım göster,2,0.91743004,12.1.1.1. Üstel fonksiyonu açıklar.,c),2
= ax fonksiyon grafiğ değişim incele için bilgi ve iletişim,0,0.5479172,12.1.1.1. Üstel fonksiyonu açıklar.,x),2
\1 ol üzere logarit fonksiyon grafik üstel fonksiyon grafik yarar,2,0.91712105,12.1.2.1. Logaritma fonksiyonu ile üstel fonksiyonu ilişkilendirerek problemler çözer.,a),4
𝑦𝑦 = 𝑎𝑎,1,0.37043518,12.1.2.1. Logaritma fonksiyonu ile üstel fonksiyonu ilişkilendirerek problemler çözer.,b),0
Gelenbevi İsmail efendi ve John Napier in çalış yer ver,2,0.7597881,12.1.2.1. Logaritma fonksiyonu ile üstel fonksiyonu ilişkilendirerek problemler çözer.,c),0
gerçek hayat(I) durum nüfus artış bakteri popülasyon radyoaktif madde bozunum yarı,1,0.71110374,12.1.3.2. Üstel ve logaritmik fonksiyonları gerçek hayat durumlarını modellemede kullanır.,a),0
gibi örnek,1,0.7729353,12.1.3.2. Üstel ve logaritmik fonksiyonları gerçek hayat durumlarını modellemede kullanır.,l),0
israf ve tasarruf kavram Hak farkındalık oluş örnek yer ver,2,0.9154333,12.1.3.2. Üstel ve logaritmik fonksiyonları gerçek hayat durumlarını modellemede kullanır.,b),0
 ve iletişim teknoloji yararlan,0,0.8893908,12.1.3.2. Üstel ve logaritmik fonksiyonları gerçek hayat durumlarını modellemede kullanır.,c),1
ilk n terim toplam bulun,0,0.8896557,12.2.1.3. Aritmetik ve geometrik dizilerin özelliklerini kullanarak işlemler yapar.,a),0
toplam sembol tanıt ancak özellik ver,0,0.9280934,12.2.1.3. Aritmetik ve geometrik dizilerin özelliklerini kullanarak işlemler yapar.,b),0
ol üzere,0,0.74494255,12.3.2.1. Trigonometrik denklemlerin çözüm kümelerini bulur.,a),0
gerçek hayat(I) problem yer ver,1,0.9010753,12.3.2.1. Trigonometrik denklemlerin çözüm kümelerini bulur.,b),1
el  nin çalış yer ver,2,0.7597881,12.3.2.1. Trigonometrik denklemlerin çözüm kümelerini bulur.,c),0
Ötele simetri ve dön kavram hatırlat,0,0.9093545,"12.4.1.1. Analitik düzlemde koordinatları verilen bir noktanın öteleme, dönme ve simetri dönüşümleri",a),0
Nokta nokta eksen y = x doğrus bir doğru göre simetri ve doğru nokta göre,0,0.958618,"12.4.1.1. Analitik düzlemde koordinatları verilen bir noktanın öteleme, dönme ve simetri dönüşümleri",b),0
 ve iletişim teknoloji yardım ötele simetri ve dön el al,0,0.5850225,"12.4.1.1. Analitik düzlemde koordinatları verilen bir noktanın öteleme, dönme ve simetri dönüşümleri",c),1
 çalış yer ver,2,0.7597881,12.4.1.2. Temel dönüşümler ve bileşkeleriyle ilgili problem çözer.,a),0
Doğa ve mimari eser örnek yap,1,0.7729468,12.4.1.2. Temel dönüşümler ve bileşkeleriyle ilgili problem çözer.,b),0
limit kavram bir bağımsız değişken ver bir sayı yaklaş hareket tablo ve grafik,1,0.94546604,"12.5.1.1. Bir fonksiyonun bir noktadaki limiti, soldan limit ve sağdan limit kavramlarını açıklar.",a),2
 ve iletişim teknoloji yararlan,0,0.8893778,"12.5.1.1. Bir fonksiyonun bir noktadaki limiti, soldan limit ve sağdan limit kavramlarını açıklar.",b),1
Cauchy nin çalış yer ver,2,0.7597882,"12.5.1.1. Bir fonksiyonun bir noktadaki limiti, soldan limit ve sağdan limit kavramlarını açıklar.",c),0
Polinom köklü üstel logaritmik ve trigonometrik fonksiyon içer limit uygulama yap ancak,2,0.41269967,12.5.1.2. Limit ile ilgili özellikleri belirterek uygulamalar yapar.,a),2
sadece pay ve payda çarpan ayrıl belirsiz kaldır limit örnek yer ver,1,0.9359081,12.5.1.2. Limit ile ilgili özellikleri belirterek uygulamalar yapar.,b),0
Fonksiyon grafik Üzer sürekli ve sürek ol nokta buldur,2,0.93186206,12.5.1.3. Bir fonksiyonun bir noktadaki sürekliliğini açıklar.,a),1
 tarihsel gelişim ve Salih Zeki nin bu alan katkı bahsed,2,0.93156165,12.5.1.3. Bir fonksiyonun bir noktadaki sürekliliğini açıklar.,b),0
bilgi ve iletişim teknoloji yardım sürekli uygulama yaptır,2,0.95000476,12.5.1.3. Bir fonksiyonun bir noktadaki sürekliliğini açıklar.,c),3
An değişim oran fizik ve geometri model yararlan açıkla,0,0.9398024,12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,a),1
Ver bir fonksiyon bir nokta türev değer ile o nokta teğeti eğim ara ilişki,1,0.9458602,12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,b),2
bir fonksiyon bir nokta ki sol türev ve sağ türev ile türev ara ilişki açıkla,1,0.9459634,12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,c),2
= c,1,0.37043518,12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,x),0
türev kural yer ver,1,0.86206734,12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,l),1
rolle nin çalış yer ver,2,0.7597881,12.5.2.1. Türev kavramını açıklayarak işlemler yapar.,d),0
bir fonksiyon bir nokta türev ol için gerek ve yet şart incele,1,0.93577415,12.5.2.2. Bir fonksiyonun bir noktada ve bir aralıkta türevlenebilirliğini değerlendirir.,a),1
Fonksiyon türev ol nokta grafik ara ilişki kur,1,0.9209479,12.5.2.2. Bir fonksiyonun bir noktada ve bir aralıkta türevlenebilirliğini değerlendirir.,b),2
 ve iletişim teknoloji yararlan,0,0.8893899,12.5.3.3. Türevi yardımıyla bir fonksiyonun grafiğini çizer.,b),1
Belir integral al kural n 1 ol üzere,0,0.8885228,12.6.1.1. Bir fonksiyonun belirsiz integralini açıklayarak integral alma kurallarını oluşturur.,a),1
bir fonksiyon bir sabit çarpım iki fonksiyon toplam ve fark integral al kural,0,0.93932927,12.6.1.1. Bir fonksiyonun belirsiz integralini açıklayarak integral alma kurallarını oluşturur.,b),3
gerçek hayat(I) karşılaş ve değer alan formül  alan uygun toplam,1,0.9583881,12.6.2.1. Bir fonksiyonun grafiği ile x ekseni arasında kalan sınırlı bölgenin alanını Riemann toplamı,a),0
Polinom fonksiyon sınırlandır,0,0.8467167,12.6.2.1. Bir fonksiyonun grafiği ile x ekseni arasında kalan sınırlı bölgenin alanını Riemann toplamı,b),1
 ve iletişim teknoloji yararlan,0,0.8893821,12.6.2.1. Bir fonksiyonun grafiği ile x ekseni arasında kalan sınırlı bölgenin alanını Riemann toplamı,c),1
iki fonksiyon grafik ara kal sınır li bölge alan hesapla,1,0.9210457,12.6.2.4. Belirli integral ile alan hesabı yapar.,a),2
gerçek hayat(I) problem yer ver,1,0.90107536,12.6.2.4. Belirli integral ile alan hesabı yapar.,b),1
 ve iletişim teknoloji yararlan,0,0.88939023,12.6.2.4. Belirli integral ile alan hesabı yapar.,c),1
merkez ve,1,0.7738034,12.7.1.1. Merkezi ve yarıçapı verilen çemberin denklemini oluşturur.,a),0
2,1,0.37043518,12.7.1.1. Merkezi ve yarıçapı verilen çemberin denklemini oluşturur.,b),0
 ve iletişim teknoloji yararlan,0,0.88937753,12.7.1.1. Merkezi ve yarıçapı verilen çemberin denklemini oluşturur.,c),1
doğru ile çember var kesişim nokta bulun,0,0.9288425,12.7.1.2. Denklemleri verilen doğru ile çemberin birbirine göre durumlarını belirleyerek işlemler yapar.,a),0
 ve iletişim teknoloji yararlan,0,0.88938564,12.7.1.2. Denklemleri verilen doğru ile çemberin birbirine göre durumlarını belirleyerek işlemler yapar.,b),1
 yaklaşık maliyet analiz yaptır,2,0.759417,11.3.2.2. Seyahatlerde mümkün olan alternatifleri karşılaştırır.,a),1
Gid yer ilişkin bir zaman çizelge yaptır,2,0.7594287,11.3.2.2. Seyahatlerde mümkün olan alternatifleri karşılaştırır.,b),0
Daire çevre ve alan ile ilgili işlem yap,1,0.9363238,11.4.3.1. Dairenin çevre ve alan bağıntılarını oluşturur.,a),1
 dilim alan ve yay uzunluk bağıntı ver,2,0.91528314,11.4.3.1. Dairenin çevre ve alan bağıntılarını oluşturur.,b),0
Üs ve köklü ifade özellik hatırlat,2,0.91748244,12.1.1.1. Üslü ve köklü ifadeler içeren denklemler çözer.,a),0
gerçek hayat(I) problem yer ver,1,0.9010753,12.1.1.1. Üslü ve köklü ifadeler içeren denklemler çözer.,b),1
Yüz hesapla aşağı ver bağlam yararlan,0,0.9125894,"12.1.2.1. Yüzde, oran ve orantı kavramlarıyla ilgili problemler çözer.",a),0
oran ve orantı kavram içer problem oluşturul aşağı ver bağlam,0,0.81498784,"12.1.2.1. Yüzde, oran ve orantı kavramlarıyla ilgili problemler çözer.",b),1
Tutum ol Hak farkındalık oluş örnek yer ver,2,0.8923446,"12.1.2.1. Yüzde, oran ve orantı kavramlarıyla ilgili problemler çözer.",c),0
 topla düzenle temsil et ve yorumla aşama yer ver,2,0.9174395,12.2.1.1. Gerçek hayat durumlarıyla ilgili istatistik problemleri çözer.,a),1
bir veri grub temsil et en uygun grafik çeşit Üzer dur fark grafik çeşit,2,0.96021795,12.2.1.1. Gerçek hayat durumlarıyla ilgili istatistik problemleri çözer.,b),4
problem seç toplumsal duyarlı geliştir çevre bilinc oku alışkan gibi konu,2,0.4894045,12.2.1.1. Gerçek hayat durumlarıyla ilgili istatistik problemleri çözer.,c),1
bir nesne belli bir oran büyüt ya da küçült çizim kullan mesafe çevre,2,0.9559311,"12.3.1.1. Çevre, alan ve hacim ölçmeye yönelik problemler çözer.",a),0
bir nesne belli bir oran büyüt veya küçült çizim ölçek kâğıt Üzer çizdir,2,0.9559557,"12.3.1.1. Çevre, alan ve hacim ölçmeye yönelik problemler çözer.",b),0
 ve iletişim teknoloji yararlan,0,0.88939065,"12.3.1.1. Çevre, alan ve hacim ölçmeye yönelik problemler çözer.",c),1
gerçek hayat(I) problem yer ver,1,0.9010753,12.4.1.1. Küre ve dik dairesel silindirin alan ve hacim ölçmeye yönelik problemler çözer.,a),1
 ve iletişim teknoloji yararlan,0,0.88938,12.4.1.1. Küre ve dik dairesel silindirin alan ve hacim ölçmeye yönelik problemler çözer.,b),1
